NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRY FACTOR
#HE,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
#C,12,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0
#CH,13,925.0,0.0,0.0,0.0,0.35,0.7,0.667,142.0,0.0,1.29,1.29,1
#CH2,14,1400.0,0.0,0.0,0.0,0.0,0.7,0.667,93.2,0.37,2.02,2.39,2
#N,14,720.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,0.0,0.0,0.0,0
#CH3,15,1600.0,0.0,0.0,0.0,0.0,0.7,0.667,35.8,1.81,1.81,3.62,6
#NH,15,2600.0,0.0,0.0,0.0,0.0,0.7,0.667,85.7,0.0,1.1,1.1,1
#CH4,16,960.0,0.0,0.0,0.0,0.0,0.7,0.667,-15.9,3.19,3.19,3.19,12
#NH2,16,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.73,1.29,2.02,2
#O,16,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0
#NH3,17,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,1.82,1.82,2.63,3
#OH,17,4600.0,0.0,0.0,0.0,0.0,0.7,0.667,8.9,0.0,1.0,1.0,1
#H2O,18,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.1,0.71,1.14,1.85,2
#C2,24,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,196.6,0.0,9.69,9.69,2
#MG,24,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0,0
#C2H,25,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,11.98,11.98,1
#C2H2,26,2587.0,0.0,0.0,0.0,0.0,0.1,0.5,54.5,0.0,14.84,14.84,2
#CN,26,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,9.16,9.16,1
#HCN,27,3700.0,0.0,0.0,0.0,0.0,0.1,0.5,31.6,0.0,11.88,11.88,1
#HNC,27,3800.0,0.0,0.0,0.0,0.0,0.1,0.5,46.4,0.0,11.51,11.51,1
#C2H3,27,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,2.26,15.89,18.24,1
#CO,28,1300.0,0.0,0.0,0.0,0.35,0.7,0.667,-27.2,0.0,8.84,8.84,1
#N2,28,1100.0,0.0,0.0,0.0,0.35,0.7,0.667,0.0,0.0,8.77,8.77,2
#H2CN,28,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,1.81,13.49,15.3,2
#C2H4,28,2500.0,0.0,0.0,0.0,0.0,0.0,0.5,14.6,3.44,16.86,20.3,4
#SI,28,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,106.5,0.0,0.0,0.0,0
#SIH,29,11950.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7,0.0,2.38,2.38,1
#HCO,29,2400.0,0.0,0.0,0.0,0.0,0.1,0.5,9.9,0.75,11.6,12.35,1
#C2H5,29,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,4.87,22.29,24.03,1
#NO,30,1600.0,0.0,0.0,0.0,0.0,0.7,0.667,21.63,0.0,11.12,11.12,1
#H2CO,30,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.1,1.8,13.45,15.25,2
#SIH2,30,12300.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,2.08,2.43,4.5,2
#CH2NH2,30,5534.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,-999.0,-999.0,-999.0,-1
#SIH3,31,12650.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2,3.58,3.58,6.04,3
#HNO,31,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.96,12.15,13.11,1
#CH2OH,31,5084.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,2.73,17.12,19.57,1
#CH3O,31,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,3.15,18.6,18.6,1
#CH3NH2,31,6584.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,5.06,22.53,23.3,1
#O2,32,1200.0,0.0,0.0,0.0,0.35,0.7,0.667,0.0,0.0,13.47,13.47,2
#CH3OH,32,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.4,4.05,20.6,21.38,1
#SIH4,32,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,5.97,5.97,5.97,12
#S,32,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0.0,0.0,0.0,0
#O2H,33,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.82,15.02,15.84,1
#HS,33,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,1.85,1.85,1
#H2S,34,2700.0,0.0,0.0,0.0,0.0,0.1,0.5,-4.2,1.74,1.88,3.58,2
